_id,country,email,password,firstName,lastName,streetNum,streetName,suburb,state,postCode,geometry.type,geometry.coordinates
5f7aac406ea27525b4505b31,Australia,ben.d.coelho@hotmail.com,$2a$10$WTrap3Yk9wf/jJkl7ginfuGerusxP4ku3TE6LLvwjv9YynPTqZE7i,Benson,Coelho,517,Flinders Ln,MELBOURNE,VIC,3000,point,"[144.9544441,-37.8198382]"
5f7aac406ea27525b4505b32,Australia,k.adhikari@gmail.com,$2a$10$WTrap3Yk9wf/jJkl7ginfuGerusxP4ku3TE6LLvwjv9YynPTqZE7i,Krishna,Adhikari,570,Swanston St,MELBOURNE,VIC,3000,point,"[144.96398,-37.8032867]"
5f7aac406ea27525b4505b33,Australia,b.torres@yahoo.com,$2a$10$WTrap3Yk9wf/jJkl7ginfuGerusxP4ku3TE6LLvwjv9YynPTqZE7i,Bryson,Torres,410,Ann Street,BRISBANE CITY,QLD,4000,point,"[153.02899119,-27.46349482]"
5f7aac406ea27525b4505b34,Australia,h.young@hotmail.com,$2a$10$WTrap3Yk9wf/jJkl7ginfuGerusxP4ku3TE6LLvwjv9YynPTqZE7i,Hailey,Young,410,Ann Street,BRISBANE CITY,QLD,4000,point,"[153.02899119,-27.46349482]"
5f7aac406ea27525b4505b35,Australia,a.hughes@google.com,$2a$10$WTrap3Yk9wf/jJkl7ginfuGerusxP4ku3TE6LLvwjv9YynPTqZE7i,Aaron,Hughes,50,Ann Street,BRISBANE CITY,QLD,4000,point,"[153.02210944,-27.4690557]"
5f7aac406ea27525b4505b36,Australia,e.sanchez@yahoo.com,$2a$10$WTrap3Yk9wf/jJkl7ginfuGerusxP4ku3TE6LLvwjv9YynPTqZE7i,Emery,Sanchez,50,Ann Street,BRISBANE CITY,QLD,4000,point,"[153.02210944,-27.4690557]"
5f7aac406ea27525b4505b37,Australia,m.russell@yahoo.com,$2a$10$WTrap3Yk9wf/jJkl7ginfuGerusxP4ku3TE6LLvwjv9YynPTqZE7i,Maverick,Russell,255,George Street,SYDNEY,NSW,2000,point,"[151.20705127,-33.86388507]"
5f7aac406ea27525b4505b38,Australia,w.lewis@hotmail.com,$2a$10$WTrap3Yk9wf/jJkl7ginfuGerusxP4ku3TE6LLvwjv9YynPTqZE7i,Willow,Lewis,255,George Street,SYDNEY,NSW,2000,point,"[151.20705127,-33.86388507]"
5f7aac406ea27525b4505b39,Australia,t.gray@yahoo.com,$2a$10$WTrap3Yk9wf/jJkl7ginfuGerusxP4ku3TE6LLvwjv9YynPTqZE7i,Theodore,Gray,45-53,Clarence Street,SYDNEY,NSW,2000,point,"[151.20438877,-33.86464526]"
5f7aac406ea27525b4505b3a,Australia,l.smith@hotmail.com,$2a$10$WTrap3Yk9wf/jJkl7ginfuGerusxP4ku3TE6LLvwjv9YynPTqZE7i,Leah,Smith,45-53,Clarence Street,SYDNEY,NSW,2000,point,"[151.20438877,-33.86464526]"
5f7aac406ea27525b4505b3b,Australia,m.hughes@yahoo.com,$2a$10$WTrap3Yk9wf/jJkl7ginfuGerusxP4ku3TE6LLvwjv9YynPTqZE7i,Madison,Hughes,45-53,Clarence Street,SYDNEY,NSW,2000,point,"[151.20438877,-33.86464526]"
5f7aac406ea27525b4505b3c,Australia,h.taylor@google.com,$2a$10$WTrap3Yk9wf/jJkl7ginfuGerusxP4ku3TE6LLvwjv9YynPTqZE7i,Henry,Taylor,45-53,Clarence Street,SYDNEY,NSW,2000,point,"[151.20438877,-33.86464526]"
